G_label,ANC,start_pairwise_connectivity,end_pairwise_connectivity,baseline,method_name
Ecoli,0.3117436320578802,1.0,0.0017901096442157,False,MTSSL_MEGA_reset_BA_FINDER_noProc
Ecoli,0.163525234019542,1.0,0.0017901096442157,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Ecoli,0.3186097980532557,1.0,0.0017901096442157,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
Ecoli,0.1641356311068844,1.0,0.0020325203252032,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
Ecoli,0.8754204310248378,1.0,0.7814015066756173,True,random
Ecoli,0.1355530226747221,1.0,0.0026478705154024,True,degree
Ecoli,0.1349740923584694,1.0,0.0018460505705974,True,HDA
Ecoli,0.1517292738867756,1.0,0.0087267845155515,True,CI
Circuit,0.7223879086827294,1.0,0.2478972996901284,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
Circuit,0.6955334218680833,1.0,0.2224435590969455,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
Circuit,0.7274495668121166,1.0,0.4164295200151774,False,ORIGINAL_BA_FINDER
Circuit,0.7026604692341745,1.0,0.3693480048061721,False,MTSSL_MEGA_reset_BA_FINDER_noProc
Circuit,0.7083513564788465,1.0,0.343325112249415,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Circuit,0.7196098147094162,1.0,0.4461202807816353,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
Circuit,0.7444640485676343,1.0,0.2245304496300512,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
Circuit,0.8813039903876557,1.0,0.7343325112249415,True,random
Circuit,0.7000044267374945,1.0,0.4077973819009675,True,degree
Circuit,0.7298121798520205,1.0,0.3122114715740213,True,HDA
Circuit,0.7057471700499589,1.0,0.33377600708278,True,CI
USAir97,0.5751627768972071,1.0,0.2908491973938048,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
USAir97,0.5850110135681424,1.0,0.2844429075819896,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
USAir97,0.6128361289155523,1.0,0.2687547774178284,False,ORIGINAL_BA_FINDER
USAir97,0.5681627912363544,1.0,0.2506096895133404,False,MTSSL_MEGA_reset_BA_FINDER_noProc
USAir97,0.4641896341201112,1.0,0.216248680522695,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
